Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Alzolam 0.5 mg","Alzolam 0.5 mg","Alprazolam","0.5 mg","ট্যাবলেট","10 x 10","Benzodiazepine sedatives","Sun Pharmaceutical (Bangladesh) Ltd.","3","3","OTC"
"Alzolux DS 400 mg","Alzolux DS 400 mg","Albendazole","400 mg","Chewable Tablet","25 x 2","Anthelmintic","Pharmik Laboratories Ltd.","4.5","4.5","OTC"
"AM 200 mg/5 ml","AM 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Reliance Pharmaceuticals Ltd.","130","130","OTC"
"AM 500 mg","AM 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","10's pack","Macrolides","Reliance Pharmaceuticals Ltd.","30","30","OTC"
"Amantril 100 mg","Amantril 100 mg","Amantadine Hydrochloride","100 mg","ক্যাপসুল","3 x 10","Respiratory viral infections (Influenza)","ACI Limited","10","10","OTC"
"Amarin 15 mg/5 ml","Amarin 15 mg/5 ml","Pheniramine Maleate","15 mg/5 ml","সিরাপ","একক","Sedating Anti-histamine","Opsonin Pharma Ltd.","20","20","OTC"
"Amarin 22.7 mg","Amarin 22.7 mg","Pheniramine Maleate","22.7 mg","ট্যাবলেট","10 x 10","Sedating Anti-histamine","Opsonin Pharma Ltd.","0.47","0.47","OTC"
"Amarin 45.5 mg/2 ml","Amarin 45.5 mg/2 ml","Pheniramine Maleate","45.5 mg/2 ml","IM/IV Injection","5 x 5","Sedating Anti-histamine","Opsonin Pharma Ltd.","7.48","7.48","OTC"
"Amaryl 1 mg","Amaryl 1 mg","Glimepiride","1 mg","ট্যাবলেট","4 x 15","Sulfonylureas","Synovia Pharma PLC.","6.92","6.92","OTC"
"Amaryl 2 mg","Amaryl 2 mg","Glimepiride","2 mg","ট্যাবলেট","3 x 15","Sulfonylureas","Synovia Pharma PLC.","12.94","12.94","OTC"
"Amaryl 3 mg","Amaryl 3 mg","Glimepiride","3 mg","ট্যাবলেট","2 x 15","Sulfonylureas","Synovia Pharma PLC.","16.55","16.55","OTC"
"Amaryl 4 mg","Amaryl 4 mg","Glimepiride","4 mg","ট্যাবলেট","2 x 15","Sulfonylureas","Synovia Pharma PLC.","21.06","21.06","OTC"
"Amaryl M 1 mg+500 mg","Amaryl M 1 mg+500 mg","Glimepiride + Metformin","1 mg+500 mg","Tablet (Prolonged Release)","3 x 10","Combination Oral hypoglycemic preparations","Synovia Pharma PLC.","12","12","OTC"
"Amaryl M 2 mg+500 mg","Amaryl M 2 mg+500 mg","Glimepiride + Metformin","2 mg+500 mg","Tablet (Prolonged Release)","3 x 10","Combination Oral hypoglycemic preparations","Synovia Pharma PLC.","18","18","OTC"
"Amason 0.5 mg","Amason 0.5 mg","Dexamethasone","0.5 mg","ট্যাবলেট","10 x 10","","Ambee Pharmaceuticals Ltd.","1","1","OTC"
"Ambeecal 500 mg","Ambeecal 500 mg","Calcium Carbonate","500 mg","ট্যাবলেট","5 x 10","Minerals in bone formation, Specific mineral preparations","Ambee Pharmaceuticals Ltd.","2.01","2.01","OTC"
"Ambeecal-D 500 mg+200 IU","Ambeecal-D 500 mg+200 IU","Conventional Calcium + Vitamin D3","500 mg+200 IU","ট্যাবলেট","1 x 15","Specific mineral & vitamin combined preparations","Ambee Pharmaceuticals Ltd.","3.31","3.31","OTC"
"Ambeeclox 500 mg","Ambeeclox 500 mg","Cloxacillin Sodium","500 mg","ক্যাপসুল","10 x 10","Narrow spectrum penicillin","Ambee Pharmaceuticals Ltd.","5.96","5.96","OTC"
"Ambeet 15 mg/5 ml","Ambeet 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Ethical Drugs Limited","40","40","OTC"
"Ambeet 75 mg","Ambeet 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","5 x 6","Cough expectorants & mucolytics","Ethical Drugs Limited","5","5","OTC"
"Ambeexin 125 mg/1.25 ml","Ambeexin 125 mg/1.25 ml","Amoxicillin Trihydrate","125 mg/1.25 ml","Pediatric Drops","একক","Broad spectrum penicillins","Ambee Pharmaceuticals Ltd.","28.42","28.42","OTC"
"Ambeexin 125 mg/5 ml","Ambeexin 125 mg/5 ml","Amoxicillin Trihydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Ambee Pharmaceuticals Ltd.","46.55","46.55","OTC"
"Ambeexin 250 mg","Ambeexin 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","10 x 10","Broad spectrum penicillins","Ambee Pharmaceuticals Ltd.","3.55","3.55","OTC"
"Amber 10 mg","Amber 10 mg","Rosuvastatin Calcium","10 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","Desh Pharmaceuticals Ltd.","20","20","OTC"
"Amber 5 mg","Amber 5 mg","Rosuvastatin Calcium","5 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","Desh Pharmaceuticals Ltd.","10","10","OTC"
"Ambfex 120 mg","Ambfex 120 mg","Fexofenadine Hydrochloride","120 mg","ট্যাবলেট","3 x 10","Non-sedating antihistamines","Ambee Pharmaceuticals Ltd.","8","8","OTC"
"Ambfex 180 mg","Ambfex 180 mg","Fexofenadine Hydrochloride","180 mg","ট্যাবলেট","3 x 10","Non-sedating antihistamines","Ambee Pharmaceuticals Ltd.","9","9","OTC"
"Ambix 15 mg/5 ml","Ambix 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Modern Pharmaceuticals Ltd.","40","40","OTC"
"Ambkust 10 mg","Ambkust 10 mg","Montelukast Sodium","10 mg","ট্যাবলেট","3 x 10","Leukotriene receptor antagonists","Ambee Pharmaceuticals Ltd.","14","14","OTC"
"Ambocus 15 mg/5 ml","Ambocus 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","OSL Pharma Limited","50","50","OTC"
"Ambocus 6 mg/ml","Ambocus 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","OSL Pharma Limited","35","35","OTC"
"Ambokof 15 mg/5 ml","Ambokof 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Novelta Bestway Pharma Ltd.","40","40","OTC"
"Ambokof 6 mg/ml","Ambokof 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Novelta Bestway Pharma Ltd.","30","30","OTC"
"Ambolin 15 mg/5 ml","Ambolin 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Virgo Pharmaceuticals Ltd.","40","40","OTC"
"Ambolin 6 mg/ml","Ambolin 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Virgo Pharmaceuticals Ltd.","25","25","OTC"
"Ambolos 15 mg/5 ml","Ambolos 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","S.N. Pharmaceutical Ltd.","30","30","OTC"
"Ambolyt 15 mg/5 ml","Ambolyt 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Incepta Pharmaceuticals Ltd.","50","50","OTC"
"Ambolyt 6 mg/ml","Ambolyt 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Incepta Pharmaceuticals Ltd.","30","30","OTC"
"Ambolyt SR 75 mg","Ambolyt SR 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","3 x 10","Cough expectorants & mucolytics","Incepta Pharmaceuticals Ltd.","5.5","5.5","OTC"
"Amboral 15 mg/5 ml","Amboral 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Pharmadesh Laboratories Ltd.","30.11","30.11","OTC"
"Amboral 6 mg/ml","Amboral 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Pharmadesh Laboratories Ltd.","20.06","20.06","OTC"
"Ambosil 15 mg/5 ml","Ambosil 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Silva Pharmaceuticals Ltd.","40","40","OTC"
"Ambosil 6 mg/ml","Ambosil 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Silva Pharmaceuticals Ltd.","20","20","OTC"
"Amboten 15 mg/5 ml","Amboten 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Eskayef Pharmaceuticals Ltd.","50","50","OTC"
"Amboten 6 mg/ml","Amboten 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Eskayef Pharmaceuticals Ltd.","35","35","OTC"
"Amboxol 15 mg/5 ml","Amboxol 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Kumudini Pharma Ltd.","42","42","OTC"
"Amboxol 6 mg/ml","Amboxol 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Kumudini Pharma Ltd.","23","23","OTC"
"Ambozin 15 mg/5 ml","Ambozin 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Rephco Pharmaceuticals Ltd.","40","40","OTC"
"Ambozin SR 75 mg","Ambozin SR 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","30's pack","Cough expectorants & mucolytics","Rephco Pharmaceuticals Ltd.","5","5","OTC"
"Ambrisan 5 mg","Ambrisan 5 mg","Ambrisentan","5 mg","ট্যাবলেট","2 x 10","Anti-hypertensive, Endothelin receptor antagonist","Square Pharmaceuticals PLC","40.13","40.13","OTC"
"Ambrocod 15 mg/5 ml","Ambrocod 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Amulet Pharmaceuticals Ltd.","40","40","OTC"
"Ambrodex 15 mg/5 ml","Ambrodex 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Decent Pharma Laboratories Ltd.","40","40","OTC"
"Ambrogen 15 mg/5 ml","Ambrogen 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Biogen Pharmaceuticals Ltd.","40","40","OTC"
"Ambrokof 15 mg/5 ml","Ambrokof 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Euro Pharma Ltd.","45","45","OTC"
"Ambromax 15 mg/5 ml","Ambromax 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Goodman Pharmaceuticals Ltd.","40","40","OTC"
"Ambronaaf 15 mg/5 ml","Ambronaaf 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Naafco Pharma PLC","50","50","OTC"
"Ambronil 15 mg/5 ml","Ambronil 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Orion Pharma Ltd.","50","50","OTC"
"Ambronil 6 mg/ml","Ambronil 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Orion Pharma Ltd.","30","30","OTC"
"Ambrop 15 mg/5 ml","Ambrop 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Bengal drugs Ltd.","40","40","OTC"
"Ambrosia 15 mg/5 ml","Ambrosia 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Silco Pharmaceutical Ltd.","40","40","OTC"
"Ambrosol 15 mg/5 ml","Ambrosol 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Popular Pharmaceuticals Ltd.","40","40","OTC"
"Ambrosol 75 mg","Ambrosol 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","30's pack","Cough expectorants & mucolytics","Popular Pharmaceuticals Ltd.","5","5","OTC"
"Ambrotil 15 mg/5 ml","Ambrotil 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Amico Laboratories Ltd.","35","35","OTC"
"Ambroton 15 mg/5 ml","Ambroton 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Novatek Pharmaceuticals Ltd.","40.13","40.13","OTC"
"Ambrotus 15 mg/5 ml","Ambrotus 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Labaid Pharma Ltd.","50","50","OTC"
"Ambrox 15 mg/5 ml","Ambrox 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Square Pharmaceuticals PLC","50","50","OTC"
"Ambrox 6 mg/ml","Ambrox 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Square Pharmaceuticals PLC","40","40","OTC"
"Ambrox SR 75 mg","Ambrox SR 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","3 x 10","Cough expectorants & mucolytics","Square Pharmaceuticals PLC","5.5","5.5","OTC"
"Ambroxol 15 mg/5 ml","Ambroxol 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Biopharma Limited","45","45","OTC"
"Ambroxol SR 75 mg","Ambroxol SR 75 mg","Ambroxol Hydrochloride","75 mg","Capsule (Sustained Release)","3 x 10","Cough expectorants & mucolytics","Biopharma Limited","5.02","5.02","OTC"
"Ambryl 15 mg/5 ml","Ambryl 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Jenphar Bangladesh Ltd.","45","45","OTC"
"Ambryl 6 mg/ml","Ambryl 6 mg/ml","Ambroxol Hydrochloride","6 mg/ml","Pediatric Drops","একক","Cough expectorants & mucolytics","Jenphar Bangladesh Ltd.","34","34","OTC"
"Ambuterol 5 mg/5 ml","Ambuterol 5 mg/5 ml","Bambuterol Hydrochloride","5 mg/5 ml","Oral Solution","একক","Short-acting selective & β2-adrenoceptor stimulants","APC Pharma Ltd.","20","20","OTC"
"Amcold 15 mg/5 ml","Amcold 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","DBL Pharmaceuticals Ltd.","50","50","OTC"
"Amdepin AT 5 mg+50 mg","Amdepin AT 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Pharmik Laboratories Ltd.","5","5","OTC"
"Amdin 10 mg","Amdin 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Alco Pharma Ltd.","6.02","6.02","OTC"
"Amdin 5 mg","Amdin 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Alco Pharma Ltd.","4.01","4.01","OTC"
"Amdin Plus 5 mg+50 mg","Amdin Plus 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Alco Pharma Ltd.","4.51","4.51","OTC"
"Amdocal 10 mg","Amdocal 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","4 x 15","Calcium-channel blockers","Beximco Pharmaceuticals Ltd.","8","8","OTC"
"Amdocal 2.5 mg","Amdocal 2.5 mg","Amlodipine Besilate","2.5 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Beximco Pharmaceuticals Ltd.","3","3","OTC"
"Amdocal 5 mg","Amdocal 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","7 x 15","Calcium-channel blockers","Beximco Pharmaceuticals Ltd.","5.5","5.5","OTC"
"Amdocal Plus 5 mg+25 mg","Amdocal Plus 5 mg+25 mg","Amlodipine Besilate + Atenolol","5 mg+25 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Beximco Pharmaceuticals Ltd.","6.5","6.5","OTC"
"Amdocal Plus 5 mg+50 mg","Amdocal Plus 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","6 x 10","Combined antihypertensive preparations","Beximco Pharmaceuticals Ltd.","8.5","8.5","OTC"
"Amdocal Pro 2.5 mg+5 mg","Amdocal Pro 2.5 mg+5 mg","Bisoprolol Fumarate + Amlodipine Besilate","2.5 mg+5 mg","ট্যাবলেট","3 x 10","Anti-hypertensive","Beximco Pharmaceuticals Ltd.","6","6","OTC"
"Amdoper 5 mg","Amdoper 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","30's pack","Calcium-channel blockers","Hallmark Pharmaceuticals Ltd.","3","3","OTC"
"Amdova 5 mg+10 mg","Amdova 5 mg+10 mg","Amlodipine Besilate + Atorvastatin","5 mg+10 mg","ট্যাবলেট","3 x 10","Anti-anginal & lipid lowering drugs","Beximco Pharmaceuticals Ltd.","11","11","OTC"
"Amela 0.01%+4%+0.05%","Amela 0.01%+4%+0.05%","Fluocinolone Acetonide + Hydroquinone + Tretinoin","0.01%+4%+0.05%","ক্রিম","একক","Hydroquinone Preparations","The IBN SINA Pharmaceutical PLC","200","200","OTC"
"Amelex 0.5 mg+10 mg","Amelex 0.5 mg+10 mg","Flupentixol + Melitracen","0.5 mg+10 mg","ট্যাবলেট","একক","Combined anxiolytics & anti-depressant drugs","Apollo Pharmaceutical Ltd.","4","4","OTC"
"Ameloss 10 mg","Ameloss 10 mg","Donepezil Hydrochloride","10 mg","ট্যাবলেট","2 x 10","Drugs for Dementia","Incepta Pharmaceuticals Ltd.","18.05","18.05","OTC"
"Ameloss 5 mg","Ameloss 5 mg","Donepezil Hydrochloride","5 mg","ট্যাবলেট","3 x 10","Drugs for Dementia","Incepta Pharmaceuticals Ltd.","10","10","OTC"
"Ameloss M 14 mg+10 mg","Ameloss M 14 mg+10 mg","Memantine + Donepezil","14 mg+10 mg","Capsule (Extended Release)","2 x 10","Anti-Alzheimer drugs","Incepta Pharmaceuticals Ltd.","25","25","OTC"
"Ameloss M 28 mg+10 mg","Ameloss M 28 mg+10 mg","Memantine + Donepezil","28 mg+10 mg","Capsule (Extended Release)","2 x 10","Anti-Alzheimer drugs","Incepta Pharmaceuticals Ltd.","35","35","OTC"
"Ameloss M 7 mg+10 mg","Ameloss M 7 mg+10 mg","Memantine + Donepezil","7 mg+10 mg","Capsule (Extended Release)","2 x 10","Anti-Alzheimer drugs","Incepta Pharmaceuticals Ltd.","20","20","OTC"
"Amenavir 200 mg","Amenavir 200 mg","Amenamevir","200 mg","ট্যাবলেট","1 x 7","Anti-viral drugs","Square Pharmaceuticals PLC","150","150","OTC"
"Ametrol-VT 100 mg+100 mg","Ametrol-VT 100 mg+100 mg","Metronidazole + Miconazole Nitrate","100 mg+100 mg","Vaginal Tablet","1 x 10","Drugs used in Vaginal and Vulval condition","Ambee Pharmaceuticals Ltd.","11.04","11.04","OTC"
"Amezol 200 mg/5 ml","Amezol 200 mg/5 ml","Metronidazole","200 mg/5 ml","Oral Suspension","একক","Amoebicides, Anti-diarrhoeal antiprotozoal","Cosmic Pharma Ltd.","28.5","28.5","OTC"
"Amezol 400 mg","Amezol 400 mg","Metronidazole","400 mg","ট্যাবলেট","100's pack","Amoebicides, Anti-diarrhoeal antiprotozoal","Cosmic Pharma Ltd.","1.25","1.25","OTC"
"Amfrad 125 mg/5 ml","Amfrad 125 mg/5 ml","Cephradine","125 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","Amulet Pharmaceuticals Ltd.","80.24","80.24","OTC"
"Amfrad 250 mg","Amfrad 250 mg","Cephradine","250 mg","ক্যাপসুল","30's pack","First generation cephalosporins","Amulet Pharmaceuticals Ltd.","6.25","6.25","OTC"
"Amfrad 500 mg","Amfrad 500 mg","Cephradine","500 mg","ক্যাপসুল","24's pack","First generation cephalosporins","Amulet Pharmaceuticals Ltd.","12.54","12.54","OTC"
"Amibac 500 mg/2 ml","Amibac 500 mg/2 ml","Amikacin","500 mg/2 ml","IM/IV Injection","2 x 5","Aminoglycosides","Popular Pharmaceuticals Ltd.","48.18","48.18","OTC"
"Amicard Plus 5 mg+50 mg","Amicard Plus 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Aexim Pharmaceuticals Ltd.","8","8","OTC"
"AmiClean 15 mg","AmiClean 15 mg","Sodium Thiosulfate","15 mg","ট্যাবলেট","100's pack","Antidote preparations","Amico Laboratories Ltd.","0.95","0.95","OTC"
"AmiClean 7.5 mg","AmiClean 7.5 mg","Sodium Thiosulfate","7.5 mg","ট্যাবলেট","100's pack","Antidote preparations","Amico Laboratories Ltd.","0.6","0.6","OTC"
"Amiclo 12.5 mg+5 mg","Amiclo 12.5 mg+5 mg","Amitriptyline Hydrochloride + Chlordiazepoxide","12.5 mg+5 mg","ট্যাবলেট","4 x 10","Combined anxiolytics & anti-depressant drugs","Popular Pharmaceuticals Ltd.","8","8","OTC"
"AmiCoxib 120 mg","AmiCoxib 120 mg","Etoricoxib","120 mg","ট্যাবলেট","3 x 10","Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Amico Laboratories Ltd.","14","14","OTC"
"AmiCoxib 90 mg","AmiCoxib 90 mg","Etoricoxib","90 mg","ট্যাবলেট","3 x 10","Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Amico Laboratories Ltd.","12","12","OTC"
"Amidol 300 mg/100 ml","Amidol 300 mg/100 ml","Iopamidol","300 mg/100 ml","ইনজেকশন","একক","Contrast medium for diagnostic procedures","Incepta Pharmaceuticals Ltd.","1454","1454","Rx"
"Amidol 300 mg/50 ml","Amidol 300 mg/50 ml","Iopamidol","300 mg/50 ml","ইনজেকশন","একক","Contrast medium for diagnostic procedures","Incepta Pharmaceuticals Ltd.","1203","1203","Rx"
"Amidol 370 mg/100 ml","Amidol 370 mg/100 ml","Iopamidol","370 mg/100 ml","ইনজেকশন","একক","Contrast medium for diagnostic procedures","Incepta Pharmaceuticals Ltd.","2636","2636","Rx"
"Amidol 370 mg/50 ml","Amidol 370 mg/50 ml","Iopamidol","370 mg/50 ml","ইনজেকশন","একক","Contrast medium for diagnostic procedures","Incepta Pharmaceuticals Ltd.","1318","1318","Rx"
"Amifen 50 mg/5 ml","Amifen 50 mg/5 ml","Mefenamic acid","50 mg/5 ml","Oral Suspension","একক","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Opsonin Pharma Ltd.","28.11","28.11","OTC"
"Amifen 500 mg","Amifen 500 mg","Mefenamic acid","500 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Opsonin Pharma Ltd.","5.02","5.02","OTC"
"Amifex 120 mg","Amifex 120 mg","Fexofenadine Hydrochloride","120 mg","ট্যাবলেট","একক","Non-sedating antihistamines","Amico Laboratories Ltd.","7","7","OTC"
"Amifex 60 mg","Amifex 60 mg","Fexofenadine Hydrochloride","60 mg","ট্যাবলেট","একক","Non-sedating antihistamines","Amico Laboratories Ltd.","3.5","3.5","OTC"
"Amiflox 250 mg","Amiflox 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Amico Laboratories Ltd.","6","6","OTC"
"Amiflox 500 mg","Amiflox 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Amico Laboratories Ltd.","10","10","OTC"
"Amiflox 750 mg","Amiflox 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","10's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Amico Laboratories Ltd.","16","16","OTC"
"Amiflox DS 250 mg/5 ml","Amiflox DS 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Amico Laboratories Ltd.","85","85","OTC"
"Amikast 10 mg","Amikast 10 mg","Montelukast Sodium","10 mg","ট্যাবলেট","3 x 10","Leukotriene receptor antagonists","Amico Laboratories Ltd.","15","15","OTC"
"Amikast 5 mg","Amikast 5 mg","Montelukast Sodium","5 mg","ট্যাবলেট","3 x 10","Leukotriene receptor antagonists","Amico Laboratories Ltd.","8","8","OTC"
"Amikin 100 mg/2 ml","Amikin 100 mg/2 ml","Amikacin","100 mg/2 ml","IM/IV Injection","2 x 5","Aminoglycosides","Incepta Pharmaceuticals Ltd.","16","16","OTC"
"Amikin 500 mg/2 ml","Amikin 500 mg/2 ml","Amikacin","500 mg/2 ml","IM/IV Injection","2 x 5","Aminoglycosides","Incepta Pharmaceuticals Ltd.","48","48","OTC"
"Amilac 5%","Amilac 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Biopharma Limited","350","350","Rx"
"Amilax 0.5 mg+10 mg","Amilax 0.5 mg+10 mg","Flupentixol + Melitracen","0.5 mg+10 mg","ট্যাবলেট","50's pack","Combined anxiolytics & anti-depressant drugs","Amico Laboratories Ltd.","3.2","3.2","OTC"
"Amilin 10 mg","Amilin 10 mg","Amitriptyline Hydrochloride","10 mg","ট্যাবলেট","10 x 14","Tricyclic Anti-depressant","Opsonin Pharma Ltd.","0.85","0.85","OTC"
"Amilin 25 mg","Amilin 25 mg","Amitriptyline Hydrochloride","25 mg","ট্যাবলেট","10 x 14","Tricyclic Anti-depressant","Opsonin Pharma Ltd.","1.75","1.75","OTC"
"Amilin Max 25 mg+10 mg","Amilin Max 25 mg+10 mg","Amitriptyline Hydrochloride + Chlordiazepoxide","25 mg+10 mg","ট্যাবলেট","2 x 14","Combined anxiolytics & anti-depressant drugs","Opsonin Pharma Ltd.","12","12","OTC"
"Amilin Plus 12.5 mg+5 mg","Amilin Plus 12.5 mg+5 mg","Amitriptyline Hydrochloride + Chlordiazepoxide","12.5 mg+5 mg","ট্যাবলেট","4 x 14","Combined anxiolytics & anti-depressant drugs","Opsonin Pharma Ltd.","7.5","7.5","OTC"
"Amimax 100 mg/2 ml","Amimax 100 mg/2 ml","Amikacin","100 mg/2 ml","IM/IV Injection","2 x 5","Aminoglycosides","Biopharma Limited","16","16","OTC"
"Amimax 500 mg/2 ml","Amimax 500 mg/2 ml","Amikacin","500 mg/2 ml","IM/IV Injection","2 x 5","Aminoglycosides","Biopharma Limited","48","48","OTC"
