Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"AV 5 mg+80 mg","AV 5 mg+80 mg","Amlodipine Besilate + Valsartan","5 mg+80 mg","ট্যাবলেট","3 x 14","Combined antihypertensive preparations","Drug International Ltd.","7","7","OTC"
"Avaflox 400 mg","Avaflox 400 mg","Moxifloxacin Hydrochloride (Tablet)","400 mg","ট্যাবলেট","1 x 10","4-Quinolone preparations","UniMed UniHealth Pharmaceuticals Ltd.","70","70","OTC"
"Avaflut 27.5 mcg/spray","Avaflut 27.5 mcg/spray","Fluticasone Furoate","27.5 mcg/spray","নেজাল স্প্রে","একক","Nasal Steroid Preparations","OSL Pharma Limited","275","275","OTC"
"Avalet 20 mg","Avalet 20 mg","Avatrombopag","20 mg","ট্যাবলেট","1 x 10","","Drug International Ltd.","275","275","OTC"
"Avalon 200 mg/5 ml","Avalon 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Techno Drugs Ltd.","140","140","OTC"
"Avalon 500 mg","Avalon 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 6","Macrolides","Techno Drugs Ltd.","35","35","OTC"
"Avamist 27.5 mcg/spray","Avamist 27.5 mcg/spray","Fluticasone Furoate","27.5 mcg/spray","নেজাল স্প্রে","একক","Nasal Steroid Preparations","NIPRO JMI Pharma Ltd.","275","275","OTC"
"Avanix 20 mg","Avanix 20 mg","Avatrombopag","20 mg","ট্যাবলেট","1 x 5","","Beacon Pharmaceuticals PLC","260","260","OTC"
"Avanza 2 mg","Avanza 2 mg","Astaxanthin","2 mg","ক্যাপসুল","3 x 10","Supplements & adjuvant therapy","Healthcare Pharmaceuticals Ltd.","12","12","OTC"
"Avanza 4 mg","Avanza 4 mg","Astaxanthin","4 mg","ক্যাপসুল","3 x 10","Supplements & adjuvant therapy","Healthcare Pharmaceuticals Ltd.","22","22","OTC"
"Avapag 20 mg","Avapag 20 mg","Avatrombopag","20 mg","ট্যাবলেট","3 x 10","","Everest Pharmaceuticals Ltd.","260","260","OTC"
"Avas 10 mg","Avas 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","3 x 14","Other Anti-anginal & Anti-ischaemic drugs, Statins","Opsonin Pharma Ltd.","12","12","OTC"
"Avas 20 mg","Avas 20 mg","Atorvastatin Calcium","20 mg","ট্যাবলেট","1 x 14","Other Anti-anginal & Anti-ischaemic drugs, Statins","Opsonin Pharma Ltd.","20","20","OTC"
"Avas 40 mg","Avas 40 mg","Atorvastatin Calcium","40 mg","ট্যাবলেট","1 x 14","Other Anti-anginal & Anti-ischaemic drugs, Statins","Opsonin Pharma Ltd.","28","28","OTC"
"Avas EZ 10 mg+10 mg","Avas EZ 10 mg+10 mg","Atorvastatin + Ezetimibe","10 mg+10 mg","ট্যাবলেট","3 x 14","Other lipid regulating drugs","Opsonin Pharma Ltd.","14","14","OTC"
"Avas EZ 20 mg+10 mg","Avas EZ 20 mg+10 mg","Atorvastatin + Ezetimibe","20 mg+10 mg","ট্যাবলেট","2 x 14","Other lipid regulating drugs","Opsonin Pharma Ltd.","22","22","OTC"
"Avas EZ 40 mg+10 mg","Avas EZ 40 mg+10 mg","Atorvastatin + Ezetimibe","40 mg+10 mg","ট্যাবলেট","1 x 14","Other lipid regulating drugs","Opsonin Pharma Ltd.","30","30","OTC"
"Avaspray 27.5 mcg/spray","Avaspray 27.5 mcg/spray","Fluticasone Furoate","27.5 mcg/spray","নেজাল স্প্রে","একক","Nasal Steroid Preparations","Square Pharmaceuticals PLC","275","275","OTC"
"Avastatin 10 mg","Avastatin 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","10's pack","Other Anti-anginal & Anti-ischaemic drugs, Statins","Edruc Limited","8","8","OTC"
"Avastin 100 mg/4 ml","Avastin 100 mg/4 ml","Bevacizumab","100 mg/4 ml","আইভি ইনফিউশন","একক","Targeted Cancer Therapy","Roche Bangladesh Ltd.","23511.64","23511.64","Rx"
"Avastin 400 mg/16 ml","Avastin 400 mg/16 ml","Bevacizumab","400 mg/16 ml","আইভি ইনফিউশন","একক","Targeted Cancer Therapy","Roche Bangladesh Ltd.","79586","79586","Rx"
"Avastrol 10 mg","Avastrol 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","Centeon Pharma Ltd.","12","12","OTC"
"Avastrol 20 mg","Avastrol 20 mg","Atorvastatin Calcium","20 mg","ট্যাবলেট","2 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","Centeon Pharma Ltd.","18","18","OTC"
"Avatan 0.004%","Avatan 0.004%","Travoprost","0.004%","Ophthalmic Solution","একক","Drugs for miotics and glaucoma","Aristopharma Ltd.","600","600","OTC"
"Avatan-T 0.004%+0.5%","Avatan-T 0.004%+0.5%","Travoprost + Timolol Maleate","0.004%+0.5%","Ophthalmic Solution","একক","Drugs for miotics and glaucoma","Aristopharma Ltd.","500","500","OTC"
"Avatech 20 mg","Avatech 20 mg","Avatrombopag","20 mg","ট্যাবলেট","3 x 10","","Techno Drugs Ltd.","280","280","OTC"
"Avator 10 mg","Avator 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","NIPRO JMI Pharma Ltd.","12","12","OTC"
"Avator 20 mg","Avator 20 mg","Atorvastatin Calcium","20 mg","ট্যাবলেট","2 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","NIPRO JMI Pharma Ltd.","20","20","OTC"
"Avatrom 20 mg","Avatrom 20 mg","Avatrombopag","20 mg","ট্যাবলেট","1 x 10","","Jenphar Bangladesh Ltd.","260","260","OTC"
"Avaxim (For child) 80 unit/0.5 ml","Avaxim (For child) 80 unit/0.5 ml","Inactivated Hepatitis A vaccine","0.5 ml","SC Injection","একক","Vaccines, Anti-sera & Immunoglobulin","Synovia Pharma PLC.","1520","1520","OTC"
"Avelox 500 mg","Avelox 500 mg","Levofloxacin Hemihydrate","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations","Marker Pharma Ltd.","12","12","OTC"
"Avemec 0.5%","Avemec 0.5%","Ivermectin (Topical)","0.5%","লোশন","একক","Miscellaneous topical agents","Opsonin Pharma Ltd.","130","130","OTC"
"Avemec 12 mg","Avemec 12 mg","Ivermectin (Tablet)","12 mg","ট্যাবলেট","1 x 10","Anthelmintic","Opsonin Pharma Ltd.","20","20","OTC"
"Avemec 6 mg","Avemec 6 mg","Ivermectin (Tablet)","6 mg","ট্যাবলেট","2 x 10","Anthelmintic","Opsonin Pharma Ltd.","10","10","OTC"
"Avenac 100 mg","Avenac 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Radiant Pharmaceuticals Ltd.","7","7","OTC"
"Avène Cleanance Gel","Avène Cleanance Gel","Miscellaneous Topical Agents","","Topical Gel","একক","","ZAS Corporation","2250","2250","OTC"
"Avène SPF 50+","Avène SPF 50+","Miscellaneous Topical Agents","","লোশন","একক","","ZAS Corporation","3000","3000","OTC"
"Avène Thermal Spring Water","Avène Thermal Spring Water","Miscellaneous Topical Agents","","Topical Gel","একক","","ZAS Corporation","800","800","OTC"
"Avène Tolerance Control","Avène Tolerance Control","Miscellaneous Topical Agents","","ক্রিম","একক","","ZAS Corporation","3450","3450","OTC"
"Avène XeraCalm AD","Avène XeraCalm AD","Miscellaneous Topical Agents","","ক্রিম","একক","","ZAS Corporation","4198","4198","OTC"
"Aventy 100 mg","Aventy 100 mg","Avanafil","100 mg","ট্যাবলেট","1 x 4","Drugs for Erectile Dysfunction","Eskayef Pharmaceuticals Ltd.","75","75","OTC"
"Aventy 50 mg","Aventy 50 mg","Avanafil","50 mg","ট্যাবলেট","1 x 4","Drugs for Erectile Dysfunction","Eskayef Pharmaceuticals Ltd.","60","60","OTC"
"Avert 50 mg","Avert 50 mg","Meclizine Hydrochloride","50 mg","ট্যাবলেট","5 x 10","Anti-emetic drugs","Biopharma Limited","2.51","2.51","OTC"
"Avert Plus 25 mg+50 mg","Avert Plus 25 mg+50 mg","Meclizine + Pyridoxine","25 mg+50 mg","ট্যাবলেট","5 x 10","Anti-emetic drugs","Biopharma Limited","3","3","OTC"
"Avidol 6.25 mg","Avidol 6.25 mg","Carvedilol","6.25 mg","ট্যাবলেট","6 x 10","Alpha adrenoceptor blocking drugs, Beta-adrenoceptor blocking drugs, Beta-blockers","Ad-din Pharmaceuticals Ltd.","3","3","OTC"
"Avidro 0.5 mg","Avidro 0.5 mg","Pizotifen","0.5 mg","ট্যাবলেট","10 x 10","Anti-histamine Preparations, Other drugs for migraine","Beximco Pharmaceuticals Ltd.","3","3","OTC"
"Avidro 1.5 mg","Avidro 1.5 mg","Pizotifen","1.5 mg","ট্যাবলেট","5 x 10","Anti-histamine Preparations, Other drugs for migraine","Beximco Pharmaceuticals Ltd.","7","7","OTC"
"Avifanz 600 mg","Avifanz 600 mg","Efavirenz","600 mg","ট্যাবলেট","1 x 10","Drugs for HIV / Anti-retroviral drugs","Beximco Pharmaceuticals Ltd.","200","200","OTC"
"Avifix 250 mg","Avifix 250 mg","Nelfinavir","250 mg","ট্যাবলেট","1 x 10","Drugs for HIV / Anti-retroviral drugs","Beximco Pharmaceuticals Ltd.","45","45","OTC"
"Avil 15 mg/5 ml","Avil 15 mg/5 ml","Pheniramine Maleate","15 mg/5 ml","সিরাপ","একক","Sedating Anti-histamine","Synovia Pharma PLC.","25.08","25.08","OTC"
"Avil 22.7 mg","Avil 22.7 mg","Pheniramine Maleate","22.7 mg","ট্যাবলেট","20 x 15","Sedating Anti-histamine","Synovia Pharma PLC.","1.51","1.51","OTC"
"Avil 45.5 mg/2 ml","Avil 45.5 mg/2 ml","Pheniramine Maleate","45.5 mg/2 ml","IM/IV Injection","5 x 5","Sedating Anti-histamine","Synovia Pharma PLC.","7.55","7.55","OTC"
"Avil Retard 75 mg","Avil Retard 75 mg","Pheniramine Maleate","75 mg","ট্যাবলেট","10 x 10","Sedating Anti-histamine","Synovia Pharma PLC.","2.02","2.02","OTC"
"Avilam 150 mg","Avilam 150 mg","Lamivudine [For HIV Infection]","150 mg","ট্যাবলেট","1 x 10","Drugs for HIV / Anti-retroviral drugs","Beximco Pharmaceuticals Ltd.","25","25","OTC"
"Avintol 5 mg","Avintol 5 mg","Vinpocetine","5 mg","ট্যাবলেট","5 x 10","Cerebral vasodilator & Neurosensory oxygenator drugs","ACI Limited","3","3","OTC"
"Avirax HC 5%+1%","Avirax HC 5%+1%","Acyclovir + Hydrocortisone","5%+1%","ক্রিম","একক","Hydrocortisone & Combined preparations","Healthcare Pharmaceuticals Ltd.","70","70","OTC"
"Avison 1%+0.1%","Avison 1%+0.1%","Econazole Nitrate + Triamcinolone Acetonide","1%+0.1%","ক্রিম","একক","Triamcinolone & Combined preparations","Orion Pharma Ltd.","55","55","OTC"
"Avista","Avista","Super antioxidant [vitamins & minerals]","","ট্যাবলেট","3 x 10","Multi-vitamin & Multi-mineral combined preparations","Kemiko Pharmaceuticals Ltd.","4","4","OTC"
"Avitaz (2 gm+0.5 gm)/vial","Avitaz (2 gm+0.5 gm)/vial","Ceftazidime + Avibactam","2 gm+0.5 gm)/vial","আইভি ইনফিউশন","একক","Third generation cephalosporins","Square Pharmaceuticals PLC","2800","2800","Rx"
"Avlocid MS (480 mg+20 mg)/5 ml","Avlocid MS (480 mg+20 mg)/5 ml","Magaldrate + Simethicone","480 mg+20 mg)/5 ml","Oral Suspension","একক","Antacids, Anti-dyspeptic/Carminatives","ACI Limited","100.3","100.3","OTC"
"Avlocid Plus (400 mg+400 mg+30 mg)/5 ml","Avlocid Plus (400 mg+400 mg+30 mg)/5 ml","Aluminium Hydroxide + Magnesium Hydroxide + Simethicone","400 mg+400 mg+30 mg)/5 ml","Oral Suspension","একক","Antacids","ACI Limited","75.23","75.23","OTC"
"Avloclav (125 mg+31.25 mg)/5 ml","Avloclav (125 mg+31.25 mg)/5 ml","Amoxicillin + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","ACI Limited","245","245","OTC"
"Avloclav (500 mg+100 mg)/10 ml","Avloclav (500 mg+100 mg)/10 ml","Amoxicillin + Clavulanic Acid","500 mg+100 mg)/10 ml","IV Injection","একক","Broad spectrum penicillins","ACI Limited","150","150","OTC"
